"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"53","fb-survey","smoothed_cli","al",2020-05-02,2020-09-03,124,0.6161161,0.0774451,7455.2216
"54","fb-survey","smoothed_cli","ar",2020-05-02,2020-09-03,124,0.7343546,0.1014071,4853.484
"55","fb-survey","smoothed_cli","az",2020-05-02,2020-09-03,124,0.541032,0.0612866,11094.5355
"56","fb-survey","smoothed_cli","ca",2020-05-02,2020-09-03,124,0.3426247,0.0222538,51220.2351
"57","fb-survey","smoothed_cli","co",2020-05-02,2020-09-03,124,0.6054941,0.0656171,10035.1848
"58","fb-survey","smoothed_cli","ct",2020-05-02,2020-09-03,124,0.4737749,0.0621905,8656
"59","fb-survey","smoothed_cli","dc",2020-05-02,2020-09-03,124,0.5644811,0.2728723,658
"60","fb-survey","smoothed_cli","de",2020-05-02,2020-09-03,124,0.6146695,0.1312224,2651.0073
"61","fb-survey","smoothed_cli","fl",2020-05-02,2020-09-03,124,0.4754155,0.0308597,37605.0008
"62","fb-survey","smoothed_cli","ga",2020-05-02,2020-09-03,124,0.5425531,0.0515445,14439.8244
"63","fb-survey","smoothed_cli","hi",2020-05-02,2020-09-03,124,0.240404,0.0854068,2011
"64","fb-survey","smoothed_cli","ia",2020-05-02,2020-09-03,124,0.5320381,0.0677345,7956.9015
"65","fb-survey","smoothed_cli","id",2020-05-02,2020-09-03,124,0.4352608,0.0959922,3839.2455
"66","fb-survey","smoothed_cli","il",2020-05-02,2020-09-03,124,0.4955295,0.0378198,25904.0226
"67","fb-survey","smoothed_cli","in",2020-05-02,2020-09-03,124,0.5555595,0.056291,11739.0037
"68","fb-survey","smoothed_cli","ks",2020-05-02,2020-09-03,124,0.4860339,0.0741247,5566.9154
"69","fb-survey","smoothed_cli","ky",2020-05-02,2020-09-03,124,0.4629217,0.0639325,7167.8762
"70","fb-survey","smoothed_cli","la",2020-05-02,2020-09-03,124,0.5116687,0.0627967,8789.55
"71","fb-survey","smoothed_cli","ma",2020-05-02,2020-09-03,124,0.4386021,0.0599333,9383.041
"72","fb-survey","smoothed_cli","md",2020-05-02,2020-09-03,124,0.4831539,0.0741857,6605.9893
"73","fb-survey","smoothed_cli","me",2020-05-02,2020-09-03,124,0.464751,0.0981525,4017
"74","fb-survey","smoothed_cli","mi",2020-05-02,2020-09-03,124,0.4186467,0.0318969,28971.0358
"75","fb-survey","smoothed_cli","mn",2020-05-02,2020-09-03,124,0.4704487,0.0647909,8370.8644
"76","fb-survey","smoothed_cli","mo",2020-05-02,2020-09-03,124,0.4470947,0.0617782,8604.4176
"77","fb-survey","smoothed_cli","ms",2020-05-02,2020-09-03,124,0.4747622,0.0766518,5268.5722
